roomId,通关条件id
roomId,passId
yongshishilian_1,1511
yongshishilian_2,1009
yongshishilian_3,1010
yongshishilian_4,1001
yongshishilian_1_1,1511
yongshishilian_1_2,1009
yongshishilian_1_3,1010
yongshishilian_1_4,1011
yongshishilian_1_5,1012
yongshishilian_1_6,1013
yongshishilian_1_7,1014
yongshishilian_1_8,1512
yongshishilian_1_9,1207
yongshishilian_1_10,1208
yongshishilian_1_11,1015
yongshishilian_1_12,1016
yongshishilian_1_13,1209
yongshishilian_1_14,1210
yongshishilian_1_15,1211
yongshishilian_1_16,1017
