条件id,说明,类型,描述,结算描述,参数1,参数2,参数3,参数4
id,explain,type,desc,endDesc,intValue1,intValue2,stringValue1,stringValue2
1001,完成副本,FINISH_LEVEL,成功通关,成功通关
1002,杀死所有怪,KILL_ALL,击杀全部敌人,击杀全部敌人
1003,1-5BOSS蝎子专用,KILL_MONSTER,消灭BOSS利比亚蝎王（{0}/1),消灭BOSS利比亚蝎王,1,,bs_03
1004,1-8BOSS双刀羊头怪专用,KILL_MONSTER,消灭BOSS双刀萨提尔（{0}/1),消灭BOSS双刀萨提尔,1,,bs_04
1005,1-10BOSS泰坦专用,KILL_MONSTER,消灭BOSS欧律墨冬（{0}/1),消灭BOSS欧律墨冬,1,,bs_07
1006,2-5BOSS薛西斯专用,KILL_MONSTER,消灭BOSS薛西斯（{0}/1),消灭BOSS薛西斯,1,,bs_08
1007,2-10BOSS复仇女神专用,KILL_MONSTER,消灭BOSS厄里倪厄斯（{0}/1),消灭BOSS厄里倪厄斯,1,,bs_06
1008,2-4任务怪报信兵专用,KILL_MONSTER,消灭通风报信的波斯兵（{0}/1),消灭通风报信的波斯兵,1,,taopao_xb_08
1009,众神传双子牛头专用,KILL_MONSTER,击杀双子陶洛斯,击杀双子陶洛斯,2,,zsz_mdy_01_niutou
1010,勇士试炼萨提尔专用,KILL_MONSTER,击杀萨提尔,击杀萨提尔,1,,xinshou_03
1011,勇士试炼火焰塔洛斯专用,KILL_MONSTER,击杀火焰塔洛斯,击杀火焰塔洛斯,1,,jy_01
1012,勇士试炼弥诺陶洛斯专用,KILL_MONSTER,击杀弥诺陶洛斯,击杀弥诺陶洛斯,1,,jy_04_xinshou
1013,勇士试炼双刀萨提尔专用,KILL_MONSTER,击杀双刀萨提尔,击杀双刀萨提尔,1,,bs_04
1014,勇士试炼欧律墨冬专用,KILL_MONSTER,击杀欧律墨冬,击杀欧律墨冬,1,,bs_07
1015,勇士试炼报信兵专用,KILL_MONSTER,击杀通信兵,击杀通信兵,1,,taopao_xb_08
1016,勇士试炼薛西斯专用,KILL_MONSTER,击杀薛西斯,击杀薛西斯,1,,bs_08
1017,勇士试炼复仇女神专用,KILL_MONSTER,击杀厄里倪厄斯,击杀厄里倪厄斯,1,,bs_06
1101,血量限制,BLOOD_LIMIT,血量始终高于80%（{0}%),血量始终高于80%,80,,kratos
1102,血量限制,BLOOD_LIMIT,血量始终高于50%（{0}%),血量始终高于50%,50,,kratos
1121,1-6塔利娅血量限制,BLOOD_LIMIT,塔利娅血量始终高于50%（{0}%),血量始终高于50%,50,,npc_taliya
1201,限时通关,TIME_LIMIT,90秒内通关({0}),90秒内通关,90
1202,限时通关,TIME_LIMIT,120秒内通关({0}),120秒内通关,120
1203,限时通关,TIME_LIMIT,150秒内通关({0}),150秒内通关,150
1204,限时通关,TIME_LIMIT,180秒内通关({0}),180秒内通关,180
1205,限时通关,TIME_LIMIT,240秒内通关({0}),240秒内通关,240
1206,限时通关,TIME_LIMIT,300秒内通关({0}),300秒内通关,300
1207,勇士试炼限时通关专用,FINISH_LEVEL,120秒内击杀死亡军团,120秒内击杀死亡军团
1208,勇士试炼波次通关专用,FINISH_LEVEL,成功冲破敌军埋伏,成功冲破敌军埋伏
1209,勇士试炼死亡军团专用,FINISH_LEVEL,击杀死亡军团,击杀死亡军团
1210,勇士试炼击杀异教徒专用,FINISH_LEVEL,击杀所有异教徒,击杀所有异教徒
1211,勇士试炼解救百姓专用,FINISH_LEVEL,解救所有斯巴达百姓,解救所有斯巴达百姓
1301,被击次数,HURT_NUM,被攻击次数少于6次（{0}/6),被攻击次数少于6次,6,,kratos
1302,被击次数,HURT_NUM,被攻击次数少于8次（{0}/8),被攻击次数少于8次,8,,kratos
1303,被击次数,HURT_NUM,被攻击次数少于10次（{0}/10),被攻击次数少于10次,10,,kratos
1401,打开宝箱1个,KILL_MONSTER,打开全部宝箱,打开全部宝箱,1,,bx_01
1402,打开宝箱2个,KILL_MONSTER,打开全部宝箱,打开全部宝箱,2,,bx_01
1403,打开宝箱3个,KILL_MONSTER,打开全部宝箱,打开全部宝箱,3,,bx_01
1404,打开宝箱4个,KILL_MONSTER,打开全部宝箱,打开全部宝箱,4,,bx_01
1405,打开宝箱5个,KILL_MONSTER,打开全部宝箱,打开全部宝箱,5,,bx_01
1406,打开宝箱6个,KILL_MONSTER,打开全部宝箱,打开全部宝箱,6,,bx_01
1501,主角存活通关,ROLE_DEAD_ALIVE,主角从未死亡,主角从未死亡,1,,kratos
1511,薛西斯存活通关,ROLE_DEAD_ALIVE,薛西斯存活,薛西斯存活,1,,zsz_xxs_01_xxs
