角色id,ID,名字,图标,基础伤害系数,所属技能,升级影响的状态
roleId,id,name,icon,damageRate,parentSkillId,levelBuffs
cw_1,gongji01,宙斯普攻,ui_icon_wuqi_jian,{skill:cw1_pugong01},gongji01
cw_1,leiguangdan,宙斯雷光弹,ui_icon_jineng_01,{skill:cw1_jineng11},leiguangdan
cw_1,chongci,宙斯冲刺,ui_icon_jineng_02,{skill:cw1_jineng21},chongci
cw_1,zhaohuanfenshen,宙斯召唤分身,ui_icon_jineng_03,{skill:cw1_jineng31},zhaohuanfenshen
cw_1,duoshan01,宙斯躲闪01,,1,gongji01
cw_1,duoshan02,宙斯躲闪02,,1,gongji01
cw_2,gongji01,阿波罗普攻,ui_icon_wuqi_jian,{skill:cw2_pugong01},gongji01
cw_2,huoyanshengjian,阿波罗火焰神箭,ui_icon_jineng_01,{skill:cw2_jineng11},huoyanshengjian
cw_2,duochongsheji,阿波罗多重射击,ui_icon_jineng_02,{skill:cw2_jineng21},duochongsheji
cw_2,jianyuliuxing,阿波罗箭雨流星,ui_icon_jineng_03,{skill:cw2_jineng31},jianyuliuxing
cw_3,yingxiong_kuangzhanshi_01,薛西斯普攻,ui_icon_wuqi_jian,{skill:pugong01}
cw_3,yingxiong_kuangzhanshi_1,薛西斯技能1,ui_icon_jineng_01,{skill:jineng11}
cw_3,yingxiong_kuangzhanshi_2,薛西斯技能2,ui_icon_jineng_02,{skill:jineng21}
cw_3,yingxiong_kuangzhanshi_3,薛西斯技能3,ui_icon_jineng_03,{skill:jineng31}
cw_4,gongji01,哈迪斯普攻,ui_icon_wuqi_jian,{skill:cw4_pugong01},gongji01
cw_4,heianzhebi,哈迪斯黑暗遮蔽,ui_icon_jineng_01,{skill:cw4_jineng11},heianzhebi
cw_4,shihunbaolie,哈迪斯噬魂爆裂,ui_icon_jineng_02,{skill:cw4_jineng21},shihunbaolie
cw_4,sicongdichu01,哈迪斯死从地出01,ui_icon_jineng_03,{skill:cw4_jineng31},sicongdichu01
cw_4,sicongdichu02,哈迪斯死从地出02,ui_icon_jineng_03,{skill:cw4_jineng31},sicongdichu01
cw_4,sicongdichu03,哈迪斯死从地出03,ui_icon_jineng_03,{skill:cw4_jineng31},sicongdichu01
cw_5,yingxiong_kuangzhanshi_3,薛西斯技能3,ui_icon_wuqi_jian,{skill:jineng31}
cw_6,gongji01,海格力斯普攻,ui_icon_jineng_01,{skill:cw6_pugong01},gongji01
cw_6,jineng_juedoushiboji01,海格力斯技能1,ui_icon_jineng_02,{skill:cw6_jineng11},jineng_juedoushiboji01
cw_6,jineng_juedoushiboji02,海格力斯技能1_2,ui_icon_jineng_03,{skill:cw6_jineng11},jineng_juedoushiboji01
cw_6,jineng_didongshanyao,海格力斯技能2,ui_icon_jineng_03,{skill:cw6_jineng21},jineng_didongshanyao
cw_6,jineng_liliangjiefang,海格力斯技能3,ui_icon_jineng_03,{skill:cw6_jineng31},jineng_liliangjiefang
cw_7,yingxiong_kuangzhanshi_01,薛西斯普攻,ui_icon_wuqi_jian,{skill:pugong01},gongji01
cw_7,yingxiong_kuangzhanshi_1,薛西斯技能1,ui_icon_jineng_01,{skill:jineng11},jineng_siwangchanrao
cw_7,yingxiong_kuangzhanshi_2,薛西斯技能2,ui_icon_jineng_02,{skill:jineng21},jineng_mingjiedeguihuan
cw_7,yingxiong_kuangzhanshi_3,薛西斯技能3,ui_icon_jineng_03,{skill:jineng31}
cw_8,gongji01,黑暗女神普攻,ui_icon_wuqi_jian,{skill:cw8_pugong01},gongji01
cw_8,xianxuejidian,黑暗女神技能1,ui_icon_jineng_01,{skill:cw8_jineng11},xianxuejidian
cw_8,jineng_siwangchanrao,黑暗女神技能2,ui_icon_jineng_02,{skill:cw8_jineng31},jineng_siwangchanrao
cw_8,jineng_mingjiedeguihuan,黑暗女神技能3,ui_icon_jineng_03,{skill:cw8_jineng21},jineng_mingjiedeguihuan
cw_9,gongji01,波塞冬普攻,ui_icon_wuqi_jian,{skill:cw9_pugong01},gongji01
cw_9,shufuxuanwo,波塞冬束缚漩涡,ui_icon_jineng_01,{skill:cw9_jineng11},shufuxuanwo
cw_9,shenjishanyao,波塞冬神戟闪耀,ui_icon_jineng_02,{skill:cw9_jineng21},shenjishanyao
cw_9,haiyaoqiangxi,波塞冬海妖强袭,ui_icon_jineng_03,{skill:cw9_jineng31},haiyaoqiangxi
