角色ID,名称,模型ID,备注,角色类型(1主角 2宠物 3普通怪物 4boss 5精英 6宝箱 7陷阱),子类型，对于宠物(1攻击 2防御 3辅助),属性类型,属性初始值,属性分配比例,僵直系数(越大僵直时间越长),出生状态,标记,"碰撞层(主角碰撞,小怪碰撞(默认),大怪碰撞,宠物碰撞,主角翻滚碰撞,死亡碰撞)",被击特效id(见角色特效表),死亡特效(见角色特效表，如果播了死亡特效就不会播死亡动作),怒气技能,普通攻击,技能,技能文件,最高星级,最高等阶,初始装备,头顶血条类型(小血条、大血条、建筑血条、NPC血条),右上角显示的时候的血条数量(默认10),死后魂值,出生方式,死亡方式,倒地死亡方式,默认ai,元素属性,打击属性抗性（顺序依照打击属性表）,抗打击属性血条显示(一般显示最弱那个),气力状态(注意这个状态的结束状态为气绝状态),"气力系数(默认0，越大被扣的气力值越小)。受到伤害时的气力值消耗=攻击方技能气绝值/(1+气力系数*(1+Min(10%*n,50%)))","气绝时间系数(默认0，越大气绝时间越短)。受到伤害时的气绝状态持续时间=通用气绝时间/(1+气绝时间系数*(1+Min(10%*n,50%))",升级消耗id,进阶消耗id,升星消耗id,定位,头像图标,UI模型缩放,天赋,宠物羁绊,宠物初始星级,宠物碎片道具id,宠物碎片数量,重复抽取返回碎片数量,战斗力初值,"初始仇恨,创建的时候所有敌人对自己的仇恨",攻击仇恨，攻击别人增加自己对此人的仇恨,被击仇恨，被别人攻击增加自己对此人的仇恨,切换仇恨，仇恨切换时再多增加自己对此人的仇恨
id,name,mod,,roleType,subType,propType,propValue,propDistribute,behitRate,bornBuffs,flags,colliderLayer,behitFxs,deadFx,uniqueSkill,atkUpSkill,skills,skillFile,maxStar,maxAdvanceLevel,initEquips,titleBlood,headBloodNum,soulNum,bornType,deadType,groundDeadType,aiType,element,hitDefType,hitDefBloodShow,shieldBuff,shieldRate,shieldTimeRate,upgradeCostId,advanceCostId,upstarCostId,positioning,icon,uiModScale,talents,petBonds,initStar,pieceItemId,pieceNum,pieceNumReturn,power,behateIfBegin,hateIfHit,hateIfBeHit,hateIfChange
kratos,奎爷,mod_kratos_02,主角,1,,角色属性,v_kratos,d_kratos,1,,"角色,主角",主角碰撞,概率飙血,,,5lianji01,"jineng01_01_dahuixuan,jineng02_01_shuzhizhongji,jineng03_01_zhongjifei",skill_kratos,,,i_zb_0,大血条,,,herobegin,herodead,,,,,,112,1,3,,,,,ui_pet_zhujue,1,,,,,,,35
kratos1,测试奎爷,mod_kratos_02,怪物,3,,怪物属性,v_test01,d_test01,1,2306,角色,主角碰撞,"闪白,概率飙血",,,5lianji01,"jineng01_01_dahuixuan,jineng02_01_shuzhizhongji,jineng03_01_zhongjifei",skill_kratos,,,,大血条,,,herobegin,herodead,,ai_tongyong:主角挂机,,,,112,1,3,,,,,ui_pet_zhujue,1,,,,,,,35
cw2_1,阿波罗,mod_Apollo_color,阿波罗宠物,3,,怪物属性,v_test02,d_test01,1,2306,角色,宠物碰撞,"闪白,概率飙血",,,gongji01,"jianyuliuxing,duochongsheji,huoyanshengjian",skill_aboluo,,,,小血条,,0,cw_8begin,cw_8dead,,ai_xb_yuancheng:远程小兵通用AI,,,,101,1,1,,,,,ui_pet_icon_02,1
cw6_1,测试海格力斯,mod_haigelisi_pet,怪物,3,,怪物属性,v_test02,d_test01,1,2306,角色,宠物碰撞,"闪白,概率飙血",,,gongji01,"jineng_juedoushiboji01,jineng_didongshanyao,jineng_liliangjiefang",skill_haigelisi,,,,小血条,,0,cw_6begin,cw_6dead,,ai_cw_6:海格力斯AI,,,,101,1,1,,,,,ui_pet_icon_06,1
cw8_1,测试暗黑女神,mod_Heiannvshen_01,怪物,3,,怪物属性,v_test02,d_test01,1,2306,角色,宠物碰撞,"闪白,概率飙血",,,gongji01,"jineng_siwangchanrao,jineng_mingjiedeguihuan,xianxuejidian",skill_heiannvshen,,,,小血条,,0,cw_8begin,cw_8dead,,ai_cw_8:黑暗女神AI,,,,101,1,1,,,,,ui_pet_icon_08,1
cw13_1,薛西斯,mod_ManWang_01,薛西斯宠物,3,,怪物属性,v_test02,d_test01,1,2306,角色,宠物碰撞,"闪白,概率飙血",,,gongji01,,skill_manwang_cw,,,,小血条,,0,cw_8begin,cw_8dead,,,,,,101,1,1,,,,,ui_pet_icon_13,1
cw14_1,复仇女神,mod_fuchounvshen,复仇女神宠物,3,,怪物属性,v_test02,d_test01,1,2306,角色,宠物碰撞,"闪白,概率飙血",,,gongji01,,skill_fuchounvshen_cw,,,,小血条,,0,cw_8begin,cw_8dead,,,,,,101,1,1,,,,,ui_pet_icon_14,1
jz_01,哈迪斯雕像（金币副本）,mod_Hades_diaosu,哈迪斯雕像（金币副本）,4,,怪物属性,v_jz_01,d_jz_01,1,206,巨型怪物,大怪碰撞,"闪白,烟尘",,,,,skill_hadisidiaosu_01,5,5,,大血条,,,,dx_dead,,,,,,,,,,,,,,1
jz_02,哈迪斯雕像（守护建筑）,mod_Hades_diaosu,哈迪斯雕像（守护建筑）,4,,怪物属性,v_jz_02,d_jz_02,1,206,巨型怪物,大怪碰撞,"闪白,烟尘",,,,,skill_hadisidiaosu_01,5,5,,大血条,,,,dx_dead,,,,,,,,,,,,,,1
jz_03,弩车,mod_gongchengche,弩车,4,,怪物属性,v_jz_03,d_jz_03,1,206,巨型怪物,大怪碰撞,"闪白,烟尘",,,gongji01,gongji01,skill_nuche,5,5,,大血条,,,,jz_03dead,,ai_1_7_renleifashi:人类法师原地AI,,,,,,,,,,,,1
xb_01,小兵,mod_14001_01,剑盾骷髅兵,3,,怪物属性,v_xb_01,d_xb_01,1,,"可抓取,可冲撞",,"闪白,概率飙血",,,attack01,skill_01_chongci,skill_xiaobing,5,5,,小血条,,0,xb_01begin,xb_01dead,xb_daodi01,ai_baowei:小兵包围AI,,"中,弱,中,无",劈,101,1,4,,,,,,1
xb_02,小兵（远）,mod_14001_02,远程骷髅兵,3,,怪物属性,v_xb_02,d_xb_02,1,,"可抓取,可冲撞",,"闪白,概率飙血",,,attack02,skill_01_zuzhou,skill_xiaobin_02,5,5,,小血条,,0,xb_02begin,xb_02dead,xb_daodi01,ai_xb_yuancheng:远程小兵通用AI,,"中,弱,中,无",劈,101,1,4,,,,,,1
